,House Title,Location,Date,Link,Price,Bedrooms,Sqft,House Description
142,Metrotown 2 Bed 2 Bath Condo w/ Huge 356sf Balcony @ Imperial,Metrotown,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-2-bed-2-bath-condo/6948083694.html,2450,2,806,"

QR Code Link to This Post



Address: #1702- 5051 Imperial Street, Burnaby
Available: Now - long term unfurnished
Bedrooms: 2
Bathrooms: 2
Finished area: 806sf 
Flooring: laminate, tiles mixed
Outdoor: huge 356sf L-shaped balcony
Parking: 1 underground stall
Locker: 1

Deposits: half a month security deposit + fob deposits.
Lease term: minimum one year lease.
Move-in/out fees: as per strata bylaws.
Pets: sorry not this one.
Absolutely no smoking please.
Included items: air conditioner, fridge, gas cooktop, microwave, oven, dishwasher, washer, dryer.
Not included: strata move-in/move-out fee, gas, electricity, telephone, cable, internet.
Amenities: concierge, grand lobby, dining and social hall, guest suite, games room, music room, meeting room, outdoor lounge, gardening plots, bike share program, fitness centre, yoga studio.
____________________________________________________________________________
LOCATION: Metrotown location just 5 minutes' walk to Bonsor Park and Recreation Complex with pool, and the largest shopping centre Metropolis at Metrotown. Besides the 400 or so shops at Metropolis, there is also the very popular Crystal Mall. London Drugs, Dollarama, Safeway and lots of other destination shopping along Kingsway are also available. Dining options are plenty from Cactus Club, Jan Mo Jib, Sushi Garden to Earls all within a few blocks from home. 3 blocks' walk to Royal Oak Skytrain Station, La Foret, Camellia Coffee, Ki Tea House, Tiny Kitchen, Beard Papa's and Cafe 106.
FEATURES: Luxurious 806sf 2 bedroom condo with an absolutely massive 356sf L-shaped covered balcony with 180 degree unobstructed view stretching from North Shore mountains, Burnaby Mountain, to Fraser Valley and a glimpse of Fraser River. One of the best floor plans with zero waste of space. Enter directly into the kitchen with 2nd bathroom to your left and coat closet to your right. 9' ceilings, roller shades, wide plank laminate floors and air conditioning throughout. Rectangular living dining room has 2 sides of floor to ceiling glass walls overlooking the balcony with view. Kitchen features intergrated fridge and dishwasher, convection wall oven, 5-burner gas cooktop, slide-out hood fan, full-height cabinetry, quartz stone countertops, stone-style travertine onyx backsplash, and serving counter. Master bedroom has 2 closet and 3 pcs ensuite with large walk-in shower stall with frameless glass enclosure. 2nd bedroom overlooks east end of the balcony with view. 2nd 4pcs bathroom has tub with shower. Both bathrooms come with quartz stone countertops, modern rectangular porcelain sink, large format 24"" tiled wall tiles, and mirrored medicine cabinets. Rent includes one parking stall and one storage locker.
____________________________________________________________________________

For viewing appointments, please contact:
Tim Tsai at  show contact info
 or  show contact info


Photo tours here http://www.mybcrental.com/listings/imperial5051_1702/

____________________________________________________________________________

Property represented and posted by:

Sunstar Realty Ltd.
#6- 3003 Kingsway
Vancouver, BC. V5R 5J6.

-	We do not charge prospective tenants any handling fees, application fees or processing fees. 
-	This property is not offered on a first come first serve basis; all applications will be carefully screened before presentation to owners for selection.
-	It takes 2 to 3 business days to process each completed application.
-	Payments from all major credit cards and direct debit accepted (subject to transaction fees charged by Rentmoola, and only applicable to fully managed properties).
-	All measurements are approximate and all information presented herein obtained from sources believed to be reliable; user to verify and be aware that Sunstar does not assume any responsibility and/or liability for the accuracy of such.
"
143,"Up to 34,000 sq ft of open area - Park Excavator, Truck, Bulldozer etc","Big Bend Industrial Area, Burnaby",5-Aug,https://vancouver.craigslist.org/bnc/prk/d/burnaby-up-to-sq-ft-of-open-area-park/6940601975.html,4,,34000,"

QR Code Link to This Post


Up to 0.78 ACRE LAND / INDUSTRIAL. Sections of 7500 square feet available or take the whole property.

34,000 sq feet of open area available plus additional areas (office/covered area/garage)

Fenced and Secure Lot with cameras, services (electricity and water hook-ups) and high speed fibre internet access. Flexible industrial zoning. 

Perfect for truck/trailer storage, RV, movie industry use or just industrial storage. Good industrial applications, including storage for machinery, trucks, or heavy equipment. ALSO GREAT TO PARK YOUR CONTAINERS / C-CAN / SEA-CAN

Please inquire for more information and describe how much space you need and what you want to store. 

Water and services in place.

Type: Land
Zoning: M1 / M2 / M3
Terms: NNN (triple net)
Asking: 3.99 psf + triple net    "
144,Brand NEW 2 BR Garden Suite in Custom Home,North Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-2-br-garden-suite-in/6950098488.html,1995,2,850,"

QR Code Link to This Post


Everything brand new and available immediately. Ideal for a couple who enjoys being in nature, with close proximity to the city. High ceilings, brand new, beautiful... no pets/smoking please! Great location,
10 mins to BCIT, SFU, and 5 mins to Brentwood. Also, elementary catchment school is Confederation Park - Education Through The Fine Arts.  12 mins walk to Hastings and the #95 bus    "
145,"Central Coquitlam, 1150 Charlan Ave.  Great 5 bedroom house",Coquitlam,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-central-coquitlam-1150/6950095628.html,3500,5,3264,"

QR Code Link to This Post


Great 3264 sq.ft 5 bdrm/2 bath home. Quiet dead-end street. Awesome condition. Huge rec. room 24""X 25"". 2 fireplaces. All appliances. Large sundeck facing south. Nice view. Double garage. Available now. One year lease required. $3500.00 + util. Good credit and references a must. 1150 Charland Dr. Please contact Aggie Fritz, Sutton Centre Realty for more info and showings. N/S    "
146,Modern Bright 1 Br Main Floor Newer Home,N/A,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-modern-bright-1-br-main-floor/6950094924.html,1300,1,900,"

QR Code Link to This Post


Large Bright 1 Br 1 Bath with private entrance.
Beautiful ceramic tile throughout bathroom and kitchen. 
Radiant heat throughout with individual zone control.
Close to bus routes and all amenities.
Absolutely no smoking or marijuana use. No pets. 
Good references required
Suits one person.
$1300 per month. Available immediately. 
Please respond by Phone or Text only at  show contact info

No emails    "
147,Basement Suite for Rent in New Home,Royal Oak,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-basement-suite-for-rent-in-new/6950087672.html,1400,1,,"

QR Code Link to This Post


This bright ground level basement suite is in a new home and in an excellent location.  You are close to a bus stop, walking distance to the Skytrain, steps away from Market Crossing for all you amenities and a short trip to Metrotown.  

Rental Features:
Unfurnished basement suite rental
1 year lease term required
Stainless Steel Appliances
Quartz counters
In Suite Laundry
Security System
Utilities included
No pets
No smoking

Available September 1st for a single person

Tenant requires tenant insurance and a reference including a letter from your current employer and landlord.
Please respond with a brief introduction of yourself and why you would be a great fit!

ALL EMAIL INQUIRIES MUST INCLUDE:
•	FULL NAME
•	PERSONAL EMAIL
•	PHONE NUMBER
"
148,Two bedroom suite for rent start from Sep 1st,Burquitlam,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-two-bedroom-suite-for-rent/6950087641.html,1650,2,920,"

QR Code Link to This Post


1. Bright, spacious(920 sqf) tastily 2 bedroom ground level suite;

2. Quite, beautiful and friendly community, bright with natural sunlight, you will have your own entrance on the back of the house;

3, Good size living room, several extra storage spaces and areas, street parking space available;

4, Close to shopping and public transportation, close to sky train station, very convenient bus stop ""right"" out front, 7 min drive to SFU or 20 min by bus, within 800 metres of the Burquitlam Station and Evergreen Line;

5, Great schools catchment, close to all schools: Port Moody High school /Banting Middle School/Miller Elementary School;

6, Fenced back yard with wonderful rose garden and fruit trees.

Features: Wifi, Washer/Dryer, Refrigerator, Stove.

No smoking. No drugs. 

Available Sep 1st.

Rent per month is $1650+1/3 utility

For viewing, please Email or CALL  show contact info
; Please leave a message if we are not in and we will get back to you. Thanks.    "
149,Burnaby deer lake home stay students,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-burnaby-deer-lake-home-stay/6950086323.html,1200,,,"

QR Code Link to This Post


Nice and quiet home, looking for home stay students ,furnished,three meals,including wifi,TV,Laundry.
Nearby high school 1. Burnaby central secondary school
2. Moscrop secondery school 
3.Byrne creek community school,
4.BCIT

Bus 144, 110,20 minutes to school by bus,near metro town centre.
My job before was university teach , so can give some advices for study if needed.
Contact number  show contact info
"
150,"""ESCALA"" New awesome 2 bedroom apartment/ 2 bath, 1768 Gilmore Ave.",North Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-escala-new-awesome-2-bedroom/6950082854.html,2400,2,860,"

QR Code Link to This Post


Great unit located at 301-1768 Gilmore. Walk to Skytrain and Brentwood Mall. 3rd floor (860 sq. ft) corner unit facing inside courtyard with lots of gardens/fountains and mountains. One year lease required. Good credit and references a must. N/S and N/P. Large balcony. All appliances. One parking. One storage Available now. $2400.00 + util. Please contact Aggie Fritz for more info and viewings.    "
151,2 Bedroom  House,BCIT (4661 Huxley),5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-2-bedroom-house/6950075190.html,2000,2,1100,"

QR Code Link to This Post


Charming 2 bedroom home. Excellent condition. Good size kitchen. Shared full size washer and dryer. Great location, close to Burnaby's best schools (elementary and secondary). Across the street from Moscrop Secondary School and green park with trails.Just minutes away from restaurants and shopping. Centrally located within minutes to Metrotown, Crystal Mall, Deer Lake Park, Brentwood Mall, Highway 1 and Skytrain. Utilities included. Perfect for student. Walking distance to BCIT and easy drive to SFU

For more information or to view, please call  show contact info
 (No Calls After 8 pm Please) Text messages will not be responded to.

No Pets or Smokers Please

Professionally managed by Narod Properties Corp    "
152,"👉""SOLO DISTRICT"" CLEAN  2BDR+DEN/MOUNTAIN & DOWNTOWN VIEW- OCT.1,2019",BRENTWOOD,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-solo-district-clean-2bdrden/6943749138.html,2850,2,943,"

QR Code Link to This Post


- IMMACULATE - 2 Bedrooms + Den + 2 Full Bathrooms
- Located 11th Floor
- North West View
- Balcony Facing Downtown and North Shore Mountains
- Laminate Floors
- Geo Thermal Heat+Air Condition
- High End Stainless Steel Appliances
- Fully Equipped Modern Open Kitchen
- Gas Stove, Huge Fridge, Dishwasher, Built in Microwave 
- In Suite Washer + Dryer
- 1 Parking Stall and Storage 
- State of the Art Gym Facilities
- Sauna, Steam, changing rooms
- Amenity Room
- Billiard Table, Huge T.V, Full Kitchen, Open Sitting Area
- Huge Barbecue Area in the Courtyard on the 5th Floor
- Security System in building
- 24 Hour Concierge Service

- ""Stratus"" Phase 1 
- Appia Developer's 
- Bosa Building
- Whole Foods, Shopper's Drug Mart, Liquor Store etc..
- Save On Foods Across 
- Brentwood Mall, Sky Train, Bus Route
- Easy Access to downtown, BCIT, Metrotown, SFU and HWY 1.
- Close to Restaurants, Coffee shops and shopping
- A Few Blocks Away From Steve Nash Fitness

- Non-Smoking
- No Pets
- Utilities not included
- 1 year Lease Required
- References Required from Current or Previous Landlords
- Tenant's Insurance Required 
- Available October 1, 2019

- For Showings Call : SHELLIN @  show contact info

- E-Mail :  show contact info
"
153,Brentwood Highrise Memento - Beautiful open concept,2088 Rosser Avenue,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-highrise-memento/6947642997.html,2380,2,1000,"

QR Code Link to This Post


Fantastic location with a spacious and bright suite. Located at the corner of Madison Avenue and Lougheed Hwy the central in the Heart of Brentwood neighborhood of North Burnaby. Only 6min walking steps to Gilmore SkyTrain stations, major bus lines, Madison Square, Brentwood Town Centre, restaurants, shopping, entertainment and just 15 minutes from downtown Vancouver. This building has a fitness facility, hot tub, steam room, sauna, lush landscaped park areas and courtyard. Suites include one fireplace (gas included), floor-to-ceiling windows with oversized balconies and patios. Available September 1 move-in.

Area: 1000 sq ft including balcony (BBQ permitted)
Bedrooms: 2
Ensuite bathrooms: 2
Flooring: Carpet
Fireplaces: 1 electric
Appliances: Washer/dryer, gas stove, microwave, fridge, dishwasher, garburator
Furnished: no
Amenities:Exercise/fitness room, hot tub, billiards and party room
Parking: 1 underground stall 

Not Included: Hydro, cable, internet, telephone, strata move-in/move-out fees 

No smokers
Convenient location to all your needs of skytrain, schools, restaurants, park, and shopping, groceries, Wholesfood, Save on Foods., etc,  This home is awaiting you.

Strong preference to those with:
- Strong references
- Proof of work or Record of Employment (or student with financial banking)
- Credit check upon request
- People who are quiet and respectful
- People with no pets, although small pets will be considered with additional damage deposit
- Proof of Tenant’s insurance
Please contact at  show contact info
"
154,Vancouver East Rupert & 1st Ave 5 bedroom House off hwy 1,32xx Gravaley Street,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/vancouver-vancouver-east-rupert-1st-ave/6941750669.html,3700,5,2000,"

QR Code Link to This Post


Well loved Vancouver Special in a great location half a block to Rupert Park, the #27 bus (Joyce Station and Kooteney Loop), and 1 block to Sir Matthew Begbie Elementary School. This original home has served the family since the beginning. Comes with 3 bathrooms, 4 bedrooms up (master with a 4 pc ensuite bath) and 1 bedroom down. 

Half a block to Petro Canada, Poor Italian Restorante, Mary Croatian Parish, walking distance T & T Supermarket and Superstore.   Close to Rupert Skytrain station and Superstore and Hwy 1 exit.

This rental property is the main unit in a well maintained detached house, which offers spacious living room, dining area, open concept kitchen, 3 bathroom, 1 room on the main level, and 4 bedrooms, 2 bathrooms, full size laundry/dryer in suite on the upper level, and features with marble tiles, laminated floor, granite kitchen counter, double glaze window, day/night window drapes. Mountain view from the balcony of master bedroom. Walking distance to school, bus stop, recreational center, business area. Perfect for 4 to 6 people family.


Please contact or text at  show contact info
 for details and private showing    "
155,2 bdrm 1 bath 900 sf Burnaby North bsmt suite,4000 blk Napier,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-2-bdrm-1-bath-900-sf-burnaby/6934893149.html,1650,2,920,"

QR Code Link to This Post


Next showing, Sunday 11 am. July 21st. Thanks 

Burnaby North 2 bedrooms 1 bathroom 900 Square feet basement suite for rent, radiant heat, share laundry,
private entrance, bright and open floor plan, private heater control. share laundry.

new widnows, new hardwood floor, new counter top, , 

Close to schools, library, Swimming pool, park, Brentwood Mall, bus and Gilmore sky train station

no pets, no smoke, one year lease, utility include

 by appointment only, thanks
please text mike at  show contact info
"
156,Brand new 4 bdrm 3.5 bathrom 1 car garage unfurnished,"Burnaby south, metrotown area",5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-4-bdrm-35-bathrom-1/6950064424.html,4950,4,1700,"

QR Code Link to This Post


Brand new 4 bedrooms 3.5 bathrooms 1 car detached garage
unfurnished
central air condition
open and bright floor plan

high ceiling, 

walk to Royal Oak sky train station, 

no pets, no smoke, one year lease,    "
157,BBY Metrotown Area Whole House 4 bedrooms for rent,Metrotown,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bby-metrotown-area-whole-house/6947632703.html,3500,4,,"

QR Code Link to This Post


About this Location:
Situated in one of Burnaby's most convenient neighbourhood, this well maintained home features 4 bedrooms above, a recreational space and a mortgage helper rental unit in the basement. Renovated throughout the years and is extremely well-kept. Close to shopping and transit. Walking distance to Metrotown and Burnaby Central Park. 

Nearby:

Groceries------Real Canadian Superstore------4700 Kingsway #1105 0.99 km
Liquor Stores------Government------Suite 16-4429 Kingsway 1.53 km 
Coffee Shop------BLENZ COFFEE------4700 Kingsway K4 1.05 km 
Bank------RBC Royal Bank------4370 Kingsway 1.41 km 
Gas station------Chevron------4692 Imperial Street 0.91 km 
Mall------Metrotown------4700 Kingsway #604 1.15 km 
Mall------The Crystal Mall------4500 Kingsway 1.39 km 


Bedroom:4
Bathroom:3
Living Room:Main1+Bsmt1
Family Room:1
Kitchen:1
Eating Area:1
Parking:4
Utilities: not included
Furniture: not included
Lease Term: At least one year
Included: Frdg/Stve/ ClthWsh&Dryr

Available Sep 1st. 

Please email your basic information, your contact number and when would you be available to view.
Required: Reference and credit check.
This place is suitable for NO PETS NO SMOKER.    "
158,Furn Rm 1 Person NS Light Traveller NOW Aug 15 or Sept 1,Coquitlam / Burnaby border 5 min to Lougheed Skytrain Stn,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/coquitlam-furn-rm-1-person-ns-light/6950053239.html,715,,120,"

QR Code Link to This Post



Are you looking for a clean, tidy living space, a real home? We are seeking a respectful, responsible, community-minded individual who is positive, aware and in possession of great communication skills, to join a household of highly creative world travellers. We are: a professional film maker, a professional writer/photographer/alternative healer, and a tour guide, all over 30. Our home is our Sanctuary.

Bright upper floor room in co-operative home, available NOW, August 15 or September 1, 2019. Fully furnished (as is the rest of the house). 5-panel Bay window, southern exposure, lots of light, great view, ceiling fan, closet, computer desk, dresser and dressing table.

Term agreement until the end of August, 2020 or possibly end of May (no less).

Well suited for single employed Professional Person or Mature Student (ie. Phd Student at SFU) traveling light. Also ideal for someone coming to BC for a work contract from out of the province.

Your housemates have each lived independently for some years. We maintain a quiet, clean and tidy living space for ourselves and each other.

We are creative, active people living healthy lifestyles. We are into music, film, the arts, exercise, yoga, meditation, gardening, alternative healing and world travel.

We cook seafood and poultry but no red meat or pork at home. We are nonsmokers, non-partiers although we love hosting food gatherings.

The house is our sanctuary. We have lovely flower gardens, a large organic veggie garden, herbs, and fruit trees. A wonderful patio with BBQ's. Huge backyard.

We have a friendly cat, who will not accept other animals.

Rent is $715 plus utilities

Please leave a VOICE MESSAGE This number will NOT accept texts. Otherwise, please send a local or WhatsApp number.

Thanks
"
159,STORAGE LOCKER FOR RENT - !!,N/A,5-Aug,https://vancouver.craigslist.org/bnc/prk/d/burnaby-storage-locker-for-rent/6947473282.html,50,,,"

QR Code Link to This Post


A secured storage locker for rent

Address: 5788 Sidley St. Burnaby

Location: Underground parking lot (security gated)

Size: 6x2 (approx)

*fob required for access*


please call or text: 778 862 68 16    "
160,"Walk to HighGate, Metrotown, Skytrain, SFU Xpress Bus","Burnaby, B.C.",5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-walk-to-highgate-metrotown/6950048925.html,1295,1,650,"

QR Code Link to This Post


Clean and convenient  650 sqft 1 bedroom apartment available for September  1, 2019.

Comes with hardwood flooring, parking, patio and storage locker. Tiled bathroom and kitchen floors. Walkscore is 88/100. 1 minute walk to Kingsway bus lines, 10 minute walk to Royal Oak sky train. 25 minute walk to Metrotown, Bonsor community center, Dear Lake Park Next door to Windsor elementary school, 10 minute walk to Burnaby South Secondary School, 15 bike ride to BCIT campus, 10 minute walk to SFU express bus, short drive to Burnaby Hospital. In building laundry and onsite maintenance. 

Address is 6187 Kingsway, Burnaby, B.C.,

Closest Skytrain station is Royal Oak. Closest bus stop is on Kingsway between Gilley and Imperial.

Showing times 
Mon-Sat 6:30pm-7pm
Sun 8pm-8:30pm
or by appointment

5 month lease then month to month

Transit Directions http://www.translink.bc.ca

Car Share http://www.modo.coop    "
161,Furnished room in ground level suite - ~15 minutes from SFU,North Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-furnished-room-in-ground-level/6943647068.html,650,,,"

QR Code Link to This Post


Room for rent in a shared basement suite (1 other roommate, possibly 2)
Quiet, safe neighbourhood in North Burnaby 
Comes furnished as shown in pictures
Ideal for students (students preferred)

Separate entrance 
Each room has own key lock
Shared Kitchen comes with fridge, oven, toaster, and microwave 
Shared Washer and Dryer
Cleaning responsibility between all roommates

15 minute drive to SFU
5 minute walk to Super Valu grocery store 
Walking distance to golf course and park

$650/month
Available Sept 1
Minimum 8 month lease (prefer 1 year)

Utilities and internet included
No smoking, No pets

Please email to schedule a showing and provide a short description of yourself (eg. your personality, what are you studying, what are your hobbies, etc.).  Important to find a fit with the other roommates.

Note: If the ad is still up, the room is available    "
162,Two bed rooms for rent,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-two-bed-rooms-for-rent/6950046030.html,900,,,"

QR Code Link to This Post


Two nice and bright bedrooms for rent, share one bathroom . 3 minutes walking distance to Metrotown Skytrain station, bus stop, library, crystal mall, Metrotown. Easy downtown, UBC, Langara College, BCIT, Douglas College , SFU. Free Indoor swimming pool, gyme room. Rent included furniture and utility. Idea for female students.
"
163,Metrotown Bachelor Studio,N/A,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/metrotown-bachelor-studio/6938956726.html,1235,,420,"

QR Code Link to This Post


Close to Metropolis, The Crystal Mall,  and Station Square, Metrotown Skytrain with the Expo and Millenium Lines, Bonsor Recreation Complex, Central Park, and the Burnaby Public Library.  

Top floor (3rd floor) large unfurnished studio suite
Sleeping alcove that can be separated off
Galley kitchen
Open balcony, elevator in building
Rent includes heat, hot water
Optional:  Locker $35/mo, gated parking $40/mo
Coin-operated laundry on-site $2/load
Clean and well managed building  

No pets, references required
1 year fixed term lease
Non smokers only
Max double occupancy
Pictures representative    "
164,Room for rent in South Burnaby for September 1st,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-room-for-rent-in-south-burnaby/6948413553.html,600,,,"

QR Code Link to This Post


***Female tenants only***

Close to transit and grocery store.

Water, electricity, laundry, and internet are included with rent. 

One room is available on the top level of a large split-level house in a quiet residential neighbourhood in South Burnaby next to a ravine. The top level includes a shared kitchen, bathroom, and a large living room plus a patio with south views. 

The room is partially furnished, measures approximately 8'9"" long x 9'8"" wide and includes a dresser and small table. You will be responsible for the bed and any other furniture.

Rent is $600 per month and the security deposit is $300. 

Will be sharing with 3 quiet females. On the lower level are 1 adult, 2 tame dogs, and a cat - the levels are separate. The upper level of the house is pet-free because of allergies. 

House is located a short walk from the #147 bus and an approximately 20-minute walk to Royal Oak Skytrain station. 

No partiers, no couples, and no inside smoking. Prefer long-term tenant. 

Available September 1st.    "
165,Brentwood - Solo  1 bedroom condo for rent,2008 Rosser,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/brentwood-solo-1-bedroom-condo-for-rent/6947856190.html,1880,1,616,"

QR Code Link to This Post


Solo District Stratus, east facing, 23 floor, 616 sf, 1 bedroom, 1 bathroom, laundry in suite. Floor to ceiling windows in all rooms, ample of natural sun light. Trendy open concept kitchen with stainless steel appliances, granite counters, laminated floor, air conditioning. Stunning mountain view on the spacious balcony, secured underground parking. closed proximity to Brentwood shopping center, and skytrain station.

Amenity : 
- exercise room
- steam and sauna
- club house
- concierge service
- court yard w/ BBQ area
- storage (4'Wx6'Dx6'H)
- parking

Convenience : 
- minute walk to Brentwood Mall, Millennium Sky train Station, Kitchener Elementary School
- close proximity to BCIT, Alpha Secondary School

Rent :
$1880, excluding Hydro and gas utilities, hot water included. Available now. 

No pets, no smoking.

Sutton Maple Pacific Realty
Simon  show contact info

"
166,Large Furn Rm 1 Person Only Aug 15 or Sept 1 Light Traveller NS,Coquitlam / Burnaby border 5 min to Lougheed Skytrain Stn,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/coquitlam-large-furn-rm-1-person-only/6950039555.html,715,,225,"

QR Code Link to This Post



Do you prefer to live in a CLEAN, TIDY house? A real home? We are seeking a respectful, responsible, community minded individual with high awareness and great communication skills to join our creative, adult household.

We are a professional filmmaker, professional photographer/alternative healer and a tour guide (India), all extensive world travellers, who would like to share our home with someone who would appreciate a Sanctuary in which to live. Housemates are over 30.

Upscale residential neighbourhood, on quiet cul-de-sac.

Available Aug 15 or Sept 1, 2019. Prefer one year agreement until end of August 2020 or (at least) end of May 2020 (no less).

Fully furnished 3 level home.

Perfect for single Professional Person, Mature Student (or older PHD student), traveling very light!

Close to Lougheed Mall (and Skytrain Station)-5 minute bus ride or 15 minute walk to Lougheed Stn. Close to borders of Burnaby and New West.

Very convenient for shopping. (Superstore, Ikea, Rona, Walmart, etc.) Close to coffee shops, gyms, movie theatres etc. and 20 minutes drive to a beautiful lake.

HOUSE: Quiet, bright, non-party home. Sanctuary space, clean, tidy and full of plants, peaceful and homey. Bright kitchen with 2 fridges, glass-topped stove, bathroom with shower, heater and jacuzzi bathtub. Second washroom downstairs. Washer and dryer (line in warm weather), Great Backyard, garden, Patio with BBQ, Organic Garden, flowers, fruit and herbs!

ROOM: Bright, spacious, furnished lower floor room. Loads of light, large picture window. The room comes with: Computer desk, queen bed, closet, dresser and night table. Wifi is included. (We don't have cable).

LOCATION: Shaw Avenue at Walker St., Coquitlam.

ROOMIES: Committed Nonsmokers (NOT outside smokers), ND, Semi-Vegetarian (chicken and fish cooked inside).

SHARE HOME WITH ROOMIES WHO ARE: Into healthy living, the outdoors, media, music, arts, alternative healing, yoga, writing, teaching, gardening and travel (and potluck food gatherings). Looking for a roomie who prefers a clean, tidy, home, and is willing to contribute weekly (as well as cleaning up after himself/herself), to keeping the house clean, beautiful and functional for themselves and their housemates.

PETS: One cat inside home. Loves people but not other animals (so, sorry, no more pets).

We are looking for a low traffic, low maintenance roomie with a good attitude.

Thanks!

RENT: $715 per month plus utilities (laundry, internet etc).

Please include a local phone number, (and for out of towners): Skype contact or WhatsApp (WhatsApp is preferred if you have it), and a choice of times to get back to you.

Voice message only! This number will NOT accept texts.    "
167,"Furnished Bedroom+Bath in Incredible Apartment! Skytrain, Shopping...",Brentwood,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-furnished-bedroombath-in/6937246744.html,1150,,,"

QR Code Link to This Post


Hello!
I have a bedroom (+ bathroom) available for rent in a great 2 bedroom apartment. Looking for an individual who is clean, friendly, and all that jazz. I am open to renting to a student with financial backing, young adult, working professional, or even senior citizen.
(Last updated: Aug. 5)

$1150/month
Utilities included
No smoking
No pets
No recreational substances/drugs
No constant partying or non-stop death metal music
6 month lease minimum.
Available for viewing Wednesday, July 24th.

About the room:
Furnished with a double bed (Mattress and wooden bed frame), wooden dresser, wooden nightstand, and tall table + barstool chair. (The table/barstool can be moved into the living room). Has its own single-person closet.
The bathroom is shown in the photos, and will be solely yours.
Large window! (East-facing)

About the apartment:
Comes with a small-car parking space! (Regular parking space can be arranged with the building manager, I think)
Expansive balcony with a delightful view of the local geography (South-facing, as well as some East and West views).
Apartment is shared with one other person (me!) who attends university.
Large, spacious kitchen with plenty of cupboard spaces and a sizeable fridge. Oven, dishwasher, microwave, and I have some small appliances like a toaster oven, coffee maker, and hot water kettle that you are welcome to use. If kept clean and maintained responsibly, access to shared pots/pans/utensils/dishes can be discussed.
No TV currently, but negotiable.
Shared high-speed internet (100 up/down)
In-home laundry (washer/dryer)
Very close to Gilmore Skytrain station, as well as Brentwood Mall and other shopping, dining, and fast food.
Not sure what else to write...but you can ask!

Building has a pool (with hot tub)! And gym! And lounge room with Pool Table and Foosball Table!
Secured underground parking with visitor parking.

Please contact Alex - Call/text:  show contact info
, or email (at top of page).    "
168,$560 1 bedroom for student. close to BCIT Joyce skytrain Metrotown,BCIT Joyce skytrain Metrotown,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-bedroom-for-student-close-to/6950034315.html,560,,135,"

QR Code Link to This Post


1 bedroom available Sept 1 for female student. 
close to BCIT Joyce skytrain Metrotown

Please contact Jan  show contact info
 or Kelvin  show contact info
.

Share 1 full bath with another female.
Share kitchen with 3 other females.
Washer and dryer within unit.
Includes electricity, gas, water, high speed wifi.
Includes basic furnitures like bed, desk, chair, nightstand, dining table and chair.

Very convenient: 

Bus: 
Walk 1 min to bus stop #28 and 129, 
6 min to Joyce skytrain
10 min to Patterson skytrain
15 min to Metrotown and Crystal mall.

Walk 3 min to bus stop #25, 
3 min to BCIT, 
15 min to Brentwood mall skytrain.

Walk 5-8 min to nearby groceries stores, shops and restaurants.

Driving:
3 min to BCIT, 6 min to Metrotown/Crystal mall, 9 min to Brentwood SkyTrain.
"
169,Spacious 2 bedrooms and 2 bathrooms Condo (close to Royal Oak station),Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-spacious-2-bedrooms-and-2/6950033241.html,2000,2,,"

QR Code Link to This Post


A spacious layout, 2 bedrooms and 2 full bathrooms condo unit at Metrotown area available for rent. Fresh paint, laminate floor in the living room and bedrooms. Come with parking as well. 

Looking for no pets, no smoking tenants. Must be able to provide reference. If you are interested, please briefly introduce yourself.    "
